G,R,2B,3B,HR,RBI,SO,BA,OPS,GDP,SF,Salary
148,73,39,1,9,62,61,0.326,0.836,6,5,6.370843906
159,117,47,2,21,100,102,0.325,0.918,6,7,7.194752646
151,106,41,0,35,115,141,0.317,0.981,7,4,7.312851959
144,88,31,1,8,49,43,0.316,0.795,6,3,6.221081585
157,133,28,0,62,131,175,0.311,1.111,14,5,7.172476252
150,84,38,0,15,73,118,0.307,0.833,14,7,7.194752646
135,95,29,2,37,97,106,0.306,1.019,12,7,5.777156944
157,85,40,0,15,75,110,0.304,0.824,19,4,7.039850686
126,54,23,3,5,51,77,0.304,0.772,7,5,6.823141577
157,74,26,3,27,76,147,0.302,0.851,10,0,5.748635673
141,103,39,0,28,57,87,0.3,0.921,13,1,7.308695999
147,89,25,7,6,52,60,0.298,0.772,9,4,5.738820691
150,100,37,1,32,102,133,0.298,0.898,12,2,7.370843906
160,101,39,4,21,100,131,0.298,0.809,9,6,7.215941946
146,66,26,3,17,69,112,0.297,0.837,9,3,5.742896284
137,71,33,0,9,57,60,0.296,0.824,10,1,6.340880682
141,84,42,1,27,88,114,0.295,0.879,14,3,6.942940673
148,73,42,1,30,103,72,0.293,0.891,15,4,7.437790695
118,76,24,5,16,63,97,0.292,0.814,18,0,7.124171572
136,70,24,1,22,64,121,0.291,0.834,18,4,7.439029767
159,91,43,1,24,93,155,0.29,0.802,21,2,5.810176599
139,59,19,0,14,63,58,0.285,0.786,11,4,5.747420863
144,61,27,3,13,64,96,0.285,0.767,21,7,6.709963951
132,84,25,3,28,75,145,0.284,0.853,7,1,5.738820691
153,86,26,9,11,71,111,0.283,0.715,19,4,6.58832785
135,73,22,2,23,65,120,0.281,0.833,5,5,5.751055147
135,60,22,5,10,55,57,0.281,0.736,11,2,5.751055147
157,90,44,5,29,126,82,0.28,0.869,5,9,7.236145332
152,75,39,1,11,74,86,0.28,0.732,14,6,6.443951004
152,79,24,3,13,72,110,0.28,0.713,18,10,5.748028693
128,61,36,0,13,81,89,0.278,0.788,13,8,7.097842633
162,99,32,1,25,96,182,0.277,0.776,12,4,6.893722651
139,75,26,5,22,84,119,0.276,0.82,7,5,7.271666031
140,65,27,1,20,84,94,0.276,0.777,18,5,5.759714451
151,102,30,7,16,64,116,0.274,0.8,9,3,6.738820691
139,76,43,1,16,62,145,0.274,0.79,20,5,7.18040362
160,90,35,0,32,97,116,0.274,0.818,26,4,6.791349742
157,90,30,6,34,95,161,0.273,0.875,6,3,6.63408534
159,90,39,2,38,93,168,0.273,0.878,13,4,6.490319746
160,95,27,0,40,131,128,0.271,0.869,17,9,6.762954371
158,72,42,2,17,72,149,0.271,0.781,11,4,6.729413222
134,60,28,1,17,76,96,0.271,0.75,13,5,5.748028693
161,98,25,5,26,107,133,0.27,0.788,11,7,7.325086415
125,66,25,1,9,56,98,0.269,0.739,7,5,5.757580613
142,117,40,3,35,82,104,0.269,0.873,8,4,7.055090653
133,89,22,4,25,76,100,0.267,0.814,7,5,7.340880682
131,71,35,1,25,77,152,0.267,0.807,18,0,6.921072259
140,71,24,0,13,61,97,0.266,0.77,3,4,7.039850686
156,78,29,3,17,71,102,0.266,0.784,22,6,6.893722651
119,71,24,0,15,50,126,0.266,0.764,8,3,7.06981391
137,72,30,3,13,63,101,0.266,0.733,25,5,5.744981
153,95,31,4,13,57,111,0.265,0.725,10,1,5.752800876
135,60,22,6,16,78,109,0.264,0.733,10,3,7.215941946
127,45,22,4,17,52,79,0.264,0.724,11,0,5.738820691
153,72,41,3,20,89,156,0.263,0.773,17,2,5.748999455
138,87,31,2,28,87,126,0.263,0.813,8,4,5.84796516
136,56,27,0,13,62,130,0.263,0.694,15,2,7.194752646
145,74,19,4,27,62,141,0.262,0.807,13,2,6.723026424
125,74,18,0,12,46,71,0.261,0.734,12,2,7.06981391
142,66,20,0,4,48,72,0.261,0.642,13,5,6.565820509
137,68,26,3,24,87,96,0.26,0.807,11,4,5.757045511
140,71,23,2,14,62,89,0.26,0.724,10,5,5.748028693
155,93,38,0,23,93,77,0.259,0.82,18,10,6.935115336
140,60,21,3,19,73,127,0.259,0.724,12,2,6.863759412
156,89,32,4,16,64,126,0.258,0.721,4,5,5.748938846
150,71,28,1,30,107,95,0.257,0.808,11,2,5.776929684
150,79,28,3,29,102,164,0.257,0.783,16,5,6.754060657
140,73,28,1,24,76,129,0.257,0.761,12,3,6.689602668
145,58,25,1,14,78,99,0.255,0.701,20,6,6.392722014
125,62,23,1,29,72,121,0.255,0.807,11,3,6.777384086
150,82,31,6,20,80,135,0.254,0.722,12,5,5.738820691
136,72,20,2,22,63,135,0.253,0.715,5,5,5.738820691
154,99,25,4,14,57,162,0.252,0.738,9,2,7.236145332
150,58,29,3,11,59,100,0.251,0.708,9,4,6.738820691
148,67,37,2,18,66,124,0.25,0.759,14,5,5.754060657
145,66,35,2,16,60,114,0.25,0.719,11,3,5.746812181
145,62,28,1,22,85,154,0.25,0.729,12,7,5.745592252
156,88,34,5,27,101,183,0.25,0.756,9,6,5.747420863
139,70,28,1,11,58,85,0.25,0.673,11,8,6.738820691
149,66,32,0,17,58,92,0.249,0.707,11,0,7.039850686
147,64,28,4,1,34,114,0.248,0.629,9,2,6.546935165
161,101,31,5,26,83,120,0.248,0.733,7,10,7.291662659
156,81,33,2,30,79,169,0.246,0.794,12,4,6.780213376
153,67,23,3,20,67,158,0.246,0.741,7,3,6.592692655
151,91,24,1,33,83,103,0.245,0.772,14,5,7.467753919
138,61,26,1,14,56,98,0.245,0.681,13,4,7.007666003
136,55,24,3,7,41,122,0.244,0.659,12,2,6.893722651
145,57,24,3,6,42,80,0.243,0.675,11,5,6.893722651
152,82,36,2,15,58,103,0.243,0.723,12,3,6.796812638
153,93,25,2,27,62,96,0.242,0.853,12,0,7.126718761
160,84,25,2,36,94,131,0.242,0.804,15,7,6.308695999
146,53,40,0,8,53,73,0.242,0.647,13,3,6.796812638
146,62,26,2,17,52,132,0.241,0.705,8,5,5.753221209
158,88,31,4,17,88,131,0.24,0.727,2,8,5.772933256
162,86,44,0,34,103,170,0.24,0.802,13,4,7.06981391
137,68,42,2,12,52,101,0.24,0.727,12,5,6.935115336
152,78,24,0,33,89,122,0.24,0.773,14,5,6.392033205
136,58,26,4,20,69,129,0.24,0.726,4,6,6.893722651
143,56,23,1,18,63,135,0.239,0.71,12,5,6.768783914
156,61,22,4,3,42,73,0.238,0.612,15,6,6.796812638
139,83,31,0,31,98,166,0.238,0.756,11,4,6.556480482
144,64,27,4,17,67,147,0.238,0.671,13,3,7.194752646
134,66,25,0,17,69,124,0.237,0.7,10,4,6.954420491
150,76,24,2,31,87,196,0.236,0.791,12,5,6.935115336
144,89,23,1,17,63,167,0.236,0.686,20,5,6.706636007
140,34,19,2,6,36,61,0.236,0.605,12,3,6.63408534
147,61,24,2,7,46,69,0.235,0.641,5,3,6.245905169
151,79,23,3,27,74,145,0.235,0.745,8,5,5.751657916
129,39,19,0,16,51,119,0.235,0.661,8,5,6.757045511
124,50,16,0,10,64,119,0.234,0.651,16,3,6.972903897
150,55,26,3,25,73,146,0.23,0.749,7,1,5.741911768
155,83,27,1,27,76,170,0.229,0.757,7,5,7.007666003
151,72,28,1,19,71,103,0.229,0.71,7,7,6.437790695
135,55,22,0,22,69,179,0.226,0.71,9,6,6.645771099
124,56,19,0,23,56,122,0.226,0.687,12,4,7.097842633
130,77,21,1,32,75,101,0.224,0.817,13,2,7.097842633
132,59,28,0,15,62,148,0.222,0.682,13,6,7.255450487
152,72,22,3,0,32,87,0.221,0.564,4,4,6.405606012
150,63,25,7,13,50,147,0.221,0.646,8,2,5.744675051
136,51,15,0,14,53,103,0.219,0.688,8,3,6.689602668
153,67,23,0,35,89,121,0.219,0.767,20,3,6.181524381
155,100,21,3,46,94,200,0.218,0.827,10,2,7.172476252
129,57,21,3,18,62,131,0.217,0.706,2,7,5.738820691
148,73,31,2,17,57,141,0.214,0.697,3,6,6.461924375
144,70,27,3,19,68,150,0.21,0.654,7,6,7.124171572
134,67,28,0,25,66,183,0.207,0.725,8,2,5.757045511
131,52,18,0,19,60,88,0.202,0.692,9,2,6.91491195
